Year,Rainfall
1900,382
1901,558
1902,293
1903,789
1904,618
1905,420
1906,836
1907,672
1908,650
1909,658
1910,821
1911,716
1912,512
1913,719
1914,599
1915,368
1916,766
1917,832
1918,657
1919,392
1920,756
1921,785
1922,540
1923,409
1924,737
1925,590
1926,409
1927,623
1928,553
1929,567
1930,666
1931,521
1932,434
1933,710
1934,575
1935,416
1936,692
1937,498
1938,522
1939,682
1940,684
1941,706
1942,637
1943,515
1944,583
1945,534
1946,479
1947,675
1948,450
1949,713
1950,1120
1951,475
1952,505
1953,591
1954,810
1955,837
1956,1050
1957,521
1958,617
1959,630
1960,542
1961,460
1962,611
1963,638
1964,642
1965,433
1966,444
1967,567
1968,652
1969,445
1970,544
1971,747
1972,585
1973,905
1974,1038
1975,805
1976,799
1977,707
1978,648
1979,668
1980,507
1981,814
1982,439
1983,677
1984,723
1985,571
1986,489
1987,572
1988,577
1989,726
1990,621
1991,716
1992,521
1993,511
1994,440
1995,616
1996,632
1997,689
1998,795
1999,787
2000,897
2001,516
2002,394
2003,533
2004,616
2005,483
2006,619
2007,692
2008,687
2009,713
2010,1151
2011,847
2012,688
2013,505
2014,580
2015,503
2016,649
