Scheme Name,Recycled Water Provider
Airspin Pty Ltd (Receivers and Managers Appointed) Recycled Water Scheme,Airspin Pty Ltd
St George STP Recycled Water Scheme,Balonne Shire Council
Biloela Sewage Treatment Plant Recycled Water Scheme,Banana Shire Council
Moura Sewage Treatment Plant Recycled Water Scheme,Banana Shire Council
Taroom Sewage Treatment Plant Recycled Water Scheme,Banana Shire Council
Theodore Sewage Treatment Plant Recycled Water Scheme,Banana Shire Council
Brisbane Airport Corporation Recycled Water Scheme,Brisbane Airport Corporation Limited
Thargomindah Cemetery Irrigation Recycled Water Scheme,Bulloo Shire Council
Bargara Recycled Water Scheme,Bundaberg Regional Council
Childers Recycled Water Scheme,Bundaberg Regional Council
Coral Cove Recycled Water Scheme,Bundaberg Regional Council
East Bundaberg Recycled Water Scheme,Bundaberg Regional Council
Gin Gin Recycled Water Scheme,Bundaberg Regional Council
Millbank Recycled Water Scheme,Bundaberg Regional Council
Thabeban Recycled Water Scheme,Bundaberg Regional Council
Woodgate Recycled Water Scheme,Bundaberg Regional Council
Marlin Coast Sewerage Treatment Plant Recycled Water Scheme,Cairns Regional Council
Northern Sewerage Treatment Plant Recycled Water Scheme,Cairns Regional Council
Southern Sewerage Treatment Plant Recycled Water Scheme,Cairns Regional Council
Karumba MBR WWTP Recycled Water Scheme,Carpentaria Shire Council
Blackgully Sewage Treatment Plant Recycled Water Scheme,Central Highlands Regional Council
Blackwater Sewage Treatment Plant Recycled Water Scheme ,Central Highlands Regional Council
Capella Sewage Treatment Plant Recycled Water Scheme,Central Highlands Regional Council
Park Ave Treatment Plant Recycled Water Scheme,Central Highlands Regional Council
Tieri Sewage Treatment Plant Recycled Water Scheme,Central Highlands Regional Council
Beaudesert STP Recycled Water Scheme,Urban Utilities
Boonah STP Recycled Water Scheme,Urban Utilities
Bundamba STP Recycled Water Scheme,Urban Utilities
Canungra STP Recycled Water Scheme,Urban Utilities
Carole Park STP Recycled Water Scheme,Urban Utilities
Esk STP Recycled Water Scheme,Urban Utilities
Fairfield STP Recycled Water Scheme,Urban Utilities
Forest Hill STP Recycled Water Scheme,Urban Utilities
Gatton STP Recycled Water Scheme,Urban Utilities
Gibson Island STP Recycled Water Scheme,Urban Utilities
Goodna STP Recycled Water Scheme,Urban Utilities
Helidon STP Recycled Water Scheme,Urban Utilities
Kalbar STP Recycled Water Scheme,Urban Utilities
Karana Downs STP Recycled Water Scheme,Urban Utilities
Kilcoy STP Recycled Water Scheme,Urban Utilities
Kooralbyn STP Recycled Water Scheme,Urban Utilities
Laidley STP Recycled Water Scheme,Urban Utilities
